Plattform,Datum,Interpret,Song,Platz
Charts,06/2024,Jaxomy & Agatino Romero & Raffaella Carrà,Pedro,13
Charts,06/2024,Ayliva,Beifahrer,14
Charts,06/2024,Mark Ambor,Belong Together,15
Charts,06/2024,Pashanim,2000,16
Charts,06/2024,Fourty & Bausa,Vempa,17
Charts,06/2024,Benson Boone,Beautiful Things,18
Charts,06/2024,Pashanim,Florenz,19
Charts,06/2024,David Guetta & OneRepublic,I Don't Wanna Wait,20
Charts,06/2024,Myles Smith,Stargazing,21
Charts,06/2024,Hozier,Too Sweet,22
Charts,06/2024,Floyymenor x Cris MJ,Gata Only,23
Charts,06/2024,Bennett,Vois sur ton chemin,24
Charts,06/2024,GReeeN,Panama,25
Charts,06/2024,Billie Eilish ,Birds Of A Feather,26
Charts,06/2024,Tream & Treamiboii,Dieser Sommer,27
Charts,06/2024,Shaboozey,A Bar Song (Tipsy),28
Charts,06/2024,"Meduza, OneRepublic & Leony",Fire,29
Charts,06/2024,Dasha,Austin,30
Charts,06/2024,Cassö & Raye & D-Block Europe,Prada,31
Charts,06/2024,Dimitri Vegas & Like Mike x Tiësto x W&W & Dido,Thank You (Not So Bad),32
Charts,06/2024,Sabrina Carpenter,Please Please Please,33
Charts,06/2024,Ataypapi & Olexesh & Ilo 7araga,Pistoleta,34
Charts,06/2024,Teddy Swims,Lose Control,35
Charts,06/2024,Udo Lindenberg & Apache 207,Komet,36
Charts,06/2024,Billie Eilish ,Lunch,37
Charts,06/2024,Beyoncé,Texas Hold 'Em,38
Charts,06/2024,Yakary,Bei mir,39
Charts,06/2024,Central Cee & Lil Baby,Band4band,40
Charts,06/2024,"Taylor Swift, Post Malone",Fortnight,41
Charts,06/2024,Civo,Mach die Augen auf,42
Charts,06/2024,Hoodblaq x Luciano,Blaq on Blaq,43
Charts,06/2024,Nina Chuba,80qm,44
Charts,06/2024,Pashanim,GTA,45
Charts,06/2024,Tommy Richman,Million Dollar Baby,46
Charts,06/2024,Gigi D'Agostino,L'amour toujours,47
Charts,06/2024,Ofenbach feat. Norma Jean Martine,Overdrive,48
Charts,06/2024,SIRA & Badchieff & Bausa,9 bis 9 ,49
Charts,06/2024,Pashanim,Ms. Jackson,50
